baseline,heldout_image,training_prior,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,bad_recall,bad_f1,good_count,bad_count
always_BAD,case1,0.020687237026647966,1.0,0.0,0.0,0.0,,,1.0,1.0,0,713
training_prior,case1,0.020687237026647966,1.0,0.0,0.0,0.0,,,1.0,1.0,0,713
always_BAD,case2,0.012622720897615708,0.967741935483871,0.0,0.0,0.0,0.5,0.5,1.0,0.9836065573770492,23,690
training_prior,case2,0.012622720897615708,0.967741935483871,0.0,0.0,0.0,0.5,0.5,1.0,0.9836065573770492,23,690
always_BAD,case3,0.020687237026647966,1.0,0.0,0.0,0.0,,,1.0,1.0,0,713
training_prior,case3,0.020687237026647966,1.0,0.0,0.0,0.0,,,1.0,1.0,0,713
always_BAD,case4,0.020336605890603085,0.9985974754558204,0.0,0.0,0.0,0.5,0.5,1.0,0.9992982456140351,1,712
training_prior,case4,0.020336605890603085,0.9985974754558204,0.0,0.0,0.0,0.5,0.5,1.0,0.9992982456140351,1,712
always_BAD,case5,0.008415147265077139,0.9509116409537167,0.0,0.0,0.0,0.5,0.5,1.0,0.9748382458662832,35,678
training_prior,case5,0.008415147265077139,0.9509116409537167,0.0,0.0,0.0,0.5,0.5,1.0,0.9748382458662832,35,678
