feature,heldout_image,seed,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,bad_recall,bad_f1,good_count,bad_count
clip,case1,231,0.8190743338008415,0.0,0.0,0.0,,,0.8190743338008415,0.9005397070161912,0,713
clip,case1,232,0.9004207573632539,0.0,0.0,0.0,,,0.9004207573632539,0.9476014760147602,0,713
clip,case1,233,0.8639551192145862,0.0,0.0,0.0,,,0.8639551192145862,0.927012791572611,0,713
clip,case2,231,0.9579242636746143,0.1111111111111111,0.043478260869565216,0.0625,0.5286704473850032,0.5159420289855072,0.9884057971014493,0.9784791965566715,23,690
clip,case2,232,0.9565217391304348,0.1,0.043478260869565216,0.06060606060606061,0.5439823566477631,0.5152173913043478,0.9869565217391304,0.9777458722182341,23,690
clip,case2,233,0.9523141654978962,0.17647058823529413,0.13043478260869565,0.15,0.5080655324511656,0.5550724637681159,0.9797101449275363,0.9754689754689755,23,690
clip,case3,231,0.9845722300140253,0.0,0.0,0.0,,,0.9845722300140253,0.992226148409894,0,713
clip,case3,232,0.9803646563814866,0.0,0.0,0.0,,,0.9803646563814866,0.990084985835694,0,713
clip,case3,233,0.9859747545582047,0.0,0.0,0.0,,,0.9859747545582047,0.9929378531073446,0,713
clip,case4,231,0.9985974754558204,0.0,0.0,0.0,0.9648876404494382,0.5,1.0,0.9992982456140351,1,712
clip,case4,232,0.9985974754558204,0.0,0.0,0.0,0.9887640449438202,0.5,1.0,0.9992982456140351,1,712
clip,case4,233,0.9971949509116409,0.0,0.0,0.0,0.9676966292134831,0.49929775280898875,0.9985955056179775,0.9985955056179775,1,712
clip,case5,231,0.9509116409537167,0.0,0.0,0.0,0.502275600505689,0.5,1.0,0.9748382458662832,35,678
clip,case5,232,0.9509116409537167,0.0,0.0,0.0,0.5277707543194269,0.5,1.0,0.9748382458662832,35,678
clip,case5,233,0.9509116409537167,0.0,0.0,0.0,0.5171091445427729,0.5,1.0,0.9748382458662832,35,678
dino,case1,231,0.9761570827489481,0.0,0.0,0.0,,,0.9761570827489481,0.9879347054648687,0,713
dino,case1,232,0.9845722300140253,0.0,0.0,0.0,,,0.9845722300140253,0.992226148409894,0,713
dino,case1,233,0.9747545582047685,0.0,0.0,0.0,,,0.9747545582047685,0.9872159090909091,0,713
dino,case2,231,0.9453015427769986,0.16666666666666666,0.17391304347826086,0.1702127659574468,0.7337744171392565,0.572463768115942,0.9710144927536232,0.971718636693256,23,690
dino,case2,232,0.94109396914446,0.14814814814814814,0.17391304347826086,0.16,0.7214240705734091,0.5702898550724638,0.9666666666666667,0.9694767441860465,23,690
dino,case2,233,0.94109396914446,0.14814814814814814,0.17391304347826086,0.16,0.7542533081285444,0.5702898550724638,0.9666666666666667,0.9694767441860465,23,690
dino,case3,231,0.8359046283309958,0.0,0.0,0.0,,,0.8359046283309958,0.9106187929717342,0,713
dino,case3,232,0.9326788218793829,0.0,0.0,0.0,,,0.9326788218793829,0.965166908563135,0,713
dino,case3,233,0.9186535764375876,0.0,0.0,0.0,,,0.9186535764375876,0.9576023391812866,0,713
dino,case4,231,0.9985974754558204,0.0,0.0,0.0,0.9058988764044944,0.5,1.0,0.9992982456140351,1,712
dino,case4,232,0.9985974754558204,0.0,0.0,0.0,0.9480337078651685,0.5,1.0,0.9992982456140351,1,712
dino,case4,233,0.9985974754558204,0.0,0.0,0.0,0.9817415730337079,0.5,1.0,0.9992982456140351,1,712
dino,case5,231,0.9495091164095372,0.0,0.0,0.0,0.5793510324483776,0.49926253687315636,0.9985250737463127,0.9741007194244604,35,678
dino,case5,232,0.9495091164095372,0.0,0.0,0.0,0.5418036241045091,0.49926253687315636,0.9985250737463127,0.9741007194244604,35,678
dino,case5,233,0.9495091164095372,0.0,0.0,0.0,0.5625790139064475,0.49926253687315636,0.9985250737463127,0.9741007194244604,35,678
stats,case1,231,0.5455820476858345,0.0,0.0,0.0,,,0.5455820476858345,0.705989110707804,0,713
stats,case1,232,0.5568022440392707,0.0,0.0,0.0,,,0.5568022440392707,0.7153153153153153,0,713
stats,case1,233,0.5680224403927069,0.0,0.0,0.0,,,0.5680224403927069,0.7245080500894454,0,713
stats,case2,231,0.7208976157082749,0.05102040816326531,0.43478260869565216,0.091324200913242,0.5649653434152488,0.5826086956521739,0.7304347826086957,0.8351284175642087,23,690
stats,case2,232,0.726507713884993,0.052083333333333336,0.43478260869565216,0.09302325581395349,0.541650913673598,0.5855072463768116,0.736231884057971,0.8389760528488852,23,690
stats,case2,233,0.726507713884993,0.052083333333333336,0.43478260869565216,0.09302325581395349,0.568241965973535,0.5855072463768116,0.736231884057971,0.8389760528488852,23,690
stats,case3,231,0.8401122019635343,0.0,0.0,0.0,,,0.8401122019635343,0.913109756097561,0,713
stats,case3,232,0.8288920056100981,0.0,0.0,0.0,,,0.8288920056100981,0.906441717791411,0,713
stats,case3,233,0.726507713884993,0.0,0.0,0.0,,,0.726507713884993,0.8415922014622258,0,713
stats,case4,231,0.9467040673211781,0.0,0.0,0.0,0.8960674157303371,0.47401685393258425,0.9480337078651685,0.9726224783861671,1,712
stats,case4,232,0.9172510518934082,0.0,0.0,0.0,0.8665730337078652,0.4592696629213483,0.9185393258426966,0.9568397951719093,1,712
stats,case4,233,0.9523141654978962,0.0,0.0,0.0,0.8567415730337079,0.4768258426966292,0.9536516853932584,0.9755747126436781,1,712
stats,case5,231,0.9509116409537167,0.5,0.02857142857142857,0.05405405405405406,0.4659924146649811,0.5135482511588706,0.9985250737463127,0.9748020158387329,35,678
stats,case5,232,0.938288920056101,0.09090909090909091,0.02857142857142857,0.043478260869565216,0.550779603876949,0.5069110830172777,0.9852507374631269,0.9681159420289855,35,678
stats,case5,233,0.9438990182328191,0.3333333333333333,0.14285714285714285,0.2,0.5021070375052676,0.5640539401601349,0.9852507374631269,0.9709302325581395,35,678
fusion,case1,231,0.9438990182328191,0.0,0.0,0.0,,,0.9438990182328191,0.9711399711399712,0,713
fusion,case1,232,0.876577840112202,0.0,0.0,0.0,,,0.876577840112202,0.9342301943198804,0,713
fusion,case1,233,0.9046283309957924,0.0,0.0,0.0,,,0.9046283309957924,0.9499263622974963,0,713
fusion,case2,231,0.9102384291725105,0.06382978723404255,0.13043478260869565,0.08571428571428572,0.6214870825456836,0.5333333333333333,0.936231884057971,0.9528023598820059,23,690
fusion,case2,232,0.8920056100981767,0.05,0.13043478260869565,0.07228915662650602,0.6186515437933207,0.5239130434782608,0.9173913043478261,0.9426656738644825,23,690
fusion,case2,233,0.9270687237026648,0.08571428571428572,0.13043478260869565,0.10344827586206896,0.654127284183995,0.5420289855072463,0.9536231884057971,0.9619883040935673,23,690
fusion,case3,231,0.8863955119214586,0.0,0.0,0.0,,,0.8863955119214586,0.9397769516728625,0,713
fusion,case3,232,0.9298737727910238,0.0,0.0,0.0,,,0.9298737727910238,0.9636627906976745,0,713
fusion,case3,233,0.9495091164095372,0.0,0.0,0.0,,,0.9495091164095372,0.9741007194244604,0,713
fusion,case4,231,0.9985974754558204,0.0,0.0,0.0,0.9634831460674157,0.5,1.0,0.9992982456140351,1,712
fusion,case4,232,0.9985974754558204,0.0,0.0,0.0,0.9845505617977528,0.5,1.0,0.9992982456140351,1,712
fusion,case4,233,0.9985974754558204,0.0,0.0,0.0,0.9831460674157303,0.5,1.0,0.9992982456140351,1,712
fusion,case5,231,0.9509116409537167,0.0,0.0,0.0,0.5564686051411715,0.5,1.0,0.9748382458662832,35,678
fusion,case5,232,0.9509116409537167,0.0,0.0,0.0,0.5684365781710914,0.5,1.0,0.9748382458662832,35,678
fusion,case5,233,0.9509116409537167,0.0,0.0,0.0,0.5745891276864729,0.5,1.0,0.9748382458662832,35,678
stats_lq,case1,231,0.82328190743338,0.0,0.0,0.0,,,0.82328190743338,0.9030769230769231,0,713
stats_lq,case1,232,0.7727910238429172,0.0,0.0,0.0,,,0.7727910238429172,0.8718354430379747,0,713
stats_lq,case1,233,0.699859747545582,0.0,0.0,0.0,,,0.699859747545582,0.8234323432343235,0,713
stats_lq,case2,231,0.6227208976157083,0.008,0.08695652173913043,0.014652014652014652,0.3149338374291115,0.36376811594202896,0.6405797101449275,0.766695576756288,23,690
stats_lq,case2,232,0.6199158485273493,0.007936507936507936,0.08695652173913043,0.014545454545454545,0.30718336483931946,0.3623188405797101,0.6376811594202898,0.7645525629887054,23,690
stats_lq,case2,233,0.6465638148667602,0.01276595744680851,0.13043478260869565,0.023255813953488372,0.33232514177693767,0.39710144927536234,0.663768115942029,0.7842465753424658,23,690
stats_lq,case3,231,0.9719495091164095,0.0,0.0,0.0,,,0.9719495091164095,0.9857752489331437,0,713
stats_lq,case3,232,0.9719495091164095,0.0,0.0,0.0,,,0.9719495091164095,0.9857752489331437,0,713
stats_lq,case3,233,0.9719495091164095,0.0,0.0,0.0,,,0.9719495091164095,0.9857752489331437,0,713
stats_lq,case4,231,0.7349228611500701,0.005263157894736842,1.0,0.010471204188481676,0.824438202247191,0.8672752808988764,0.7345505617977528,0.8469635627530364,1,712
stats_lq,case4,232,0.5511921458625526,0.003115264797507788,1.0,0.006211180124223602,0.7443820224719101,0.7752808988764045,0.550561797752809,0.7101449275362319,1,712
stats_lq,case4,233,0.8541374474053296,0.0,0.0,0.0,0.7724719101123596,0.4276685393258427,0.8553370786516854,0.9213313161875946,1,712
stats_lq,case5,231,0.9509116409537167,0.0,0.0,0.0,0.42983565107458915,0.5,1.0,0.9748382458662832,35,678
stats_lq,case5,232,0.9509116409537167,0.0,0.0,0.0,0.42128107880320265,0.5,1.0,0.9748382458662832,35,678
stats_lq,case5,233,0.9467040673211781,0.0,0.0,0.0,0.4239359460598398,0.497787610619469,0.995575221238938,0.9726224783861671,35,678
fusion_lq,case1,231,0.1514726507713885,0.0,0.0,0.0,,,0.1514726507713885,0.2630937880633374,0,713
fusion_lq,case1,232,0.16269284712482468,0.0,0.0,0.0,,,0.16269284712482468,0.2798552472858866,0,713
fusion_lq,case1,233,0.14726507713884993,0.0,0.0,0.0,,,0.14726507713884993,0.2567237163814181,0,713
fusion_lq,case2,231,0.9621318373071529,0.16666666666666666,0.043478260869565216,0.06896551724137931,0.5911153119092627,0.5181159420289855,0.9927536231884058,0.98067287043665,23,690
fusion_lq,case2,232,0.9565217391304348,0.1,0.043478260869565216,0.06060606060606061,0.6128544423440454,0.5152173913043478,0.9869565217391304,0.9777458722182341,23,690
fusion_lq,case2,233,0.9621318373071529,0.16666666666666666,0.043478260869565216,0.06896551724137931,0.6376181474480151,0.5181159420289855,0.9927536231884058,0.98067287043665,23,690
fusion_lq,case3,231,0.9326788218793829,0.0,0.0,0.0,,,0.9326788218793829,0.965166908563135,0,713
