image_id,patch_id,x,y,patch_index,psnr_input,psnr_hypir,gain,label,rank_in_image,selection
case1,case1_y2176_x1920,1920,2176,542,50.52904182276484,37.0410053746524,-13.48803644811244,BAD,1,"lowest PSNR gain, nonoverlapping, four per image"
case1,case1_y2048_x2560,2560,2048,516,49.44714929847197,36.75553169099767,-12.6916176074743,BAD,2,"lowest PSNR gain, nonoverlapping, four per image"
case1,case1_y2304_x2432,2432,2304,577,50.9159016373314,38.4234430926542,-12.492458544677206,BAD,3,"lowest PSNR gain, nonoverlapping, four per image"
case1,case1_y1920_x2304,2304,1920,483,49.19019843558313,36.74928699857082,-12.440911437012304,BAD,4,"lowest PSNR gain, nonoverlapping, four per image"
case2,case2_y3200_x2688,2688,3200,596,33.51307713348004,20.326085239689014,-13.18699189379102,BAD,1,"lowest PSNR gain, nonoverlapping, four per image"
case2,case2_y3456_x2688,2688,3456,642,33.178467546085216,20.083396959312815,-13.095070586772398,BAD,2,"lowest PSNR gain, nonoverlapping, four per image"
case2,case2_y3200_x2432,2432,3200,594,36.1207827388035,23.07313409593956,-13.047648642863937,BAD,3,"lowest PSNR gain, nonoverlapping, four per image"
case2,case2_y2432_x2432,2432,2432,456,34.66245528681755,22.76630169648724,-11.896153590330307,BAD,4,"lowest PSNR gain, nonoverlapping, four per image"
case3,case3_y1664_x2944,2944,1664,426,44.93520758390251,24.20122286153804,-20.733984722364468,BAD,1,"lowest PSNR gain, nonoverlapping, four per image"
case3,case3_y1408_x1152,1152,1408,350,44.81612038775043,24.15095159717496,-20.66516879057547,BAD,2,"lowest PSNR gain, nonoverlapping, four per image"
case3,case3_y1024_x1152,1152,1024,257,45.13918720275382,25.07281027238764,-20.06637693036617,BAD,3,"lowest PSNR gain, nonoverlapping, four per image"
case3,case3_y1920_x2944,2944,1920,488,41.78808903645833,22.000189942312996,-19.787899094145335,BAD,4,"lowest PSNR gain, nonoverlapping, four per image"
case4,case4_y2816_x1152,1152,2816,691,21.17309530292033,17.038344488259582,-4.134750814660748,BAD,1,"lowest PSNR gain, nonoverlapping, four per image"
case4,case4_y2688_x0000,0,2688,651,20.749983352161905,16.692093285309834,-4.057890066852071,BAD,2,"lowest PSNR gain, nonoverlapping, four per image"
case4,case4_y0640_x1920,1920,640,170,19.71964043277521,15.904396456354,-3.815243976421215,BAD,3,"lowest PSNR gain, nonoverlapping, four per image"
case4,case4_y1408_x0768,768,1408,347,16.69652163569185,13.11920694954888,-3.577314686142973,BAD,4,"lowest PSNR gain, nonoverlapping, four per image"
case5,case5_y2560_x2304,2304,2560,638,31.77488716844797,22.1576522796957,-9.617234888752275,BAD,1,"lowest PSNR gain, nonoverlapping, four per image"
case5,case5_y0000_x2944,2944,0,23,31.83413481392339,24.104344788753945,-7.7297900251694465,BAD,2,"lowest PSNR gain, nonoverlapping, four per image"
case5,case5_y0000_x0000,0,0,0,30.339241038999116,22.74514960505328,-7.594091433945834,BAD,3,"lowest PSNR gain, nonoverlapping, four per image"
case5,case5_y2560_x1920,1920,2560,635,34.38111140155901,27.34935439273847,-7.031757008820541,BAD,4,"lowest PSNR gain, nonoverlapping, four per image"
