feature,seed,roc_auc,accuracy,f1,bad_recall
clip,231,0.6652778961133768,0.9422159887798036,0.0125,0.9584104721832631
clip,232,0.6868390519703368,0.9573632538569425,0.01212121212121212,0.973548387096774
clip,233,0.6642904354024739,0.950070126227209,0.03,0.9656471048636611
dino,231,0.7396747753307095,0.94109396914446,0.03404255319148936,0.9563202555159759
dino,232,0.7370871341810288,0.9612903225806452,0.032,0.9764885584612776
dino,233,0.7661912983562332,0.9565217391304348,0.032,0.9717199750110671
fusion,231,0.713812944584757,0.9380084151472652,0.01714285714285714,0.9533052828424499
fusion,232,0.723879561254055,0.9295932678821879,0.014457831325301198,0.9447685834502103
fusion,233,0.7372874930953994,0.9461430575035064,0.02068965517241378,0.9615521271622253
fusion_lq,231,0.6041382067126909,0.7991584852734922,0.013793103448275858,0.8153810191678353
fusion_lq,232,0.5531571939306829,0.802805049088359,0.01212121212121212,0.8189897883606221
fusion_lq,233,0.5278373822964317,0.7994389901823282,0.013793103448275858,0.8156615240766714
stats,231,0.6423417246035223,0.8008415147265078,0.029075650993459202,0.8125375627739091
stats,232,0.6530011837528041,0.7935483870967742,0.027300303336703725,0.8051432394026327
stats,233,0.6423635255041702,0.7834502103786816,0.05860465116279068,0.7939328922384112
stats_lq,231,0.5230692302502972,0.820757363253857,0.00502464376809924,0.834072337698494
stats_lq,232,0.490948822038144,0.7733520336605891,0.00415132693393562,0.7865966980264851
stats_lq,233,0.5095776659830457,0.8238429172510517,0.00465116279069766,0.8372979344989288
