feature,heldout_image,accuracy,precision,recall,f1,roc_auc,balanced_accuracy,bad_recall,bad_f1,good_count,bad_count
clip,case1,0.8611500701262272,0.0,0.0,0.0,,,0.8611500701262272,0.9253956292388847,0,713
clip,case2,0.9551192145862553,0.09090909090909091,0.043478260869565216,0.058823529411764705,0.5055450535601764,0.5144927536231885,0.9855072463768116,0.9770114942528736,23,690
clip,case3,0.9831697054698457,0.0,0.0,0.0,,,0.9831697054698457,0.9915134370579916,0,713
clip,case4,0.9971949509116409,0.0,0.0,0.0,0.9719101123595506,0.49929775280898875,0.9985955056179775,0.9985955056179775,1,712
clip,case5,0.9509116409537167,0.0,0.0,0.0,0.515802781289507,0.5,1.0,0.9748382458662832,35,678
dino,case1,0.9803646563814866,0.0,0.0,0.0,,,0.9803646563814866,0.990084985835694,0,713
dino,case2,0.9424964936886395,0.15384615384615385,0.17391304347826086,0.16326530612244897,0.7357908002520479,0.5710144927536231,0.9681159420289855,0.9702251270878722,23,690
dino,case3,0.9102384291725105,0.0,0.0,0.0,,,0.9102384291725105,0.9530102790014684,0,713
dino,case4,0.9985974754558204,0.0,0.0,0.0,0.9564606741573034,0.5,1.0,0.9992982456140351,1,712
dino,case5,0.9495091164095372,0.0,0.0,0.0,0.5721449641803624,0.49926253687315636,0.9985250737463127,0.9741007194244604,35,678
stats,case1,0.5511921458625526,0.0,0.0,0.0,,,0.5511921458625526,0.7106690777576854,0,713
stats,case2,0.7251051893408135,0.05181347150259067,0.43478260869565216,0.09259259259259259,0.5579080025204789,0.5847826086956521,0.7347826086956522,0.8380165289256198,23,690
stats,case3,0.7952314165497896,0.0,0.0,0.0,,,0.7952314165497896,0.8859375,0,713
stats,case4,0.9438990182328191,0.0,0.0,0.0,0.8792134831460674,0.4726123595505618,0.9452247191011236,0.9711399711399712,1,712
stats,case5,0.9495091164095372,0.3333333333333333,0.02857142857142857,0.05263157894736842,0.539401601348504,0.512810788032027,0.9970501474926253,0.9740634005763689,35,678
fusion,case1,0.9144460028050491,0.0,0.0,0.0,,,0.9144460028050491,0.9553113553113554,0,713
fusion,case2,0.9158485273492286,0.06976744186046512,0.13043478260869565,0.09090909090909091,0.6207309388783869,0.536231884057971,0.9420289855072463,0.9558823529411765,23,690
fusion,case3,0.9298737727910238,0.0,0.0,0.0,,,0.9298737727910238,0.9636627906976745,0,713
fusion,case4,0.9985974754558204,0.0,0.0,0.0,0.973314606741573,0.5,1.0,0.9992982456140351,1,712
fusion,case5,0.9509116409537167,0.0,0.0,0.0,0.564559629161399,0.5,1.0,0.9748382458662832,35,678
stats_lq,case1,0.7741935483870968,0.0,0.0,0.0,,,0.7741935483870968,0.8727272727272727,0,713
stats_lq,case2,0.6297335203366059,0.00816326530612245,0.08695652173913043,0.014925373134328358,0.3153119092627599,0.3673913043478261,0.6478260869565218,0.772020725388601,23,690
stats_lq,case3,0.9719495091164095,0.0,0.0,0.0,,,0.9719495091164095,0.9857752489331437,0,713
stats_lq,case4,0.7251051893408135,0.005076142131979695,1.0,0.010101010101010102,0.7851123595505618,0.8623595505617978,0.7247191011235955,0.8403908794788274,1,712
stats_lq,case5,0.9509116409537167,0.0,0.0,0.0,0.4286557100716393,0.5,1.0,0.9748382458662832,35,678
fusion_lq,case1,0.15568022440392706,0.0,0.0,0.0,,,0.15568022440392706,0.26941747572815533,0,713
fusion_lq,case2,0.9593267882187938,0.125,0.043478260869565216,0.06451612903225806,0.6097668557025835,0.5166666666666667,0.9898550724637681,0.9792114695340501,23,690
fusion_lq,case3,0.9424964936886395,0.0,0.0,0.0,,,0.9424964936886395,0.9703971119133574,0,713
fusion_lq,case4,0.9985974754558204,0.0,0.0,0.0,0.4466292134831461,0.5,1.0,0.9992982456140351,1,712
fusion_lq,case5,0.9509116409537167,0.0,0.0,0.0,0.6233459755583649,0.5,1.0,0.9748382458662832,35,678
