image_id,patch_id,x,y,patch_index,psnr_input,psnr_hypir,gain,label
case1,case1_y0000_x0000,0,0,0,27.879531018742938,25.14997664961883,-2.7295543691241093,BAD
case1,case1_y0000_x0128,128,0,1,27.37876959904564,24.331430031120647,-3.0473395679249933,BAD
case1,case1_y0000_x0256,256,0,2,27.608688609408965,22.560420797044003,-5.048267812364962,BAD
case1,case1_y0000_x0384,384,0,3,27.875479720411974,21.50418378771253,-6.371295932699443,BAD
case1,case1_y0000_x0512,512,0,4,27.9683498799781,22.991033952472442,-4.977315927505657,BAD
case1,case1_y0000_x0640,640,0,5,28.240124043019534,25.29879063498321,-2.941333408036325,BAD
case1,case1_y0000_x0768,768,0,6,27.799071054993373,25.348067943785413,-2.45100311120796,BAD
case1,case1_y0000_x0896,896,0,7,28.053638823175447,26.06278070326927,-1.9908581199061786,BAD
case1,case1_y0000_x1024,1024,0,8,28.636645178865983,26.351372402025067,-2.285272776840916,BAD
case1,case1_y0000_x1152,1152,0,9,28.633670516188698,26.18527882992318,-2.4483916862655164,BAD
case1,case1_y0000_x1280,1280,0,10,28.73989090936203,26.688272247656034,-2.0516186617059944,BAD
case1,case1_y0000_x1408,1408,0,11,29.23580355443655,27.357925022298062,-1.8778785321384888,BAD
case1,case1_y0000_x1536,1536,0,12,29.479330353853296,27.138984634900794,-2.340345718952502,BAD
case1,case1_y0000_x1664,1664,0,13,30.116342329765047,27.11343111904503,-3.0029112107200184,BAD
case1,case1_y0000_x1792,1792,0,14,34.24598051924061,30.295407690888858,-3.9505728283517527,BAD
case1,case1_y0000_x1920,1920,0,15,42.39814353336094,36.82039163973408,-5.5777518936268535,BAD
case1,case1_y0000_x2048,2048,0,16,39.93119538206446,36.24639918598703,-3.6847961960774285,BAD
case1,case1_y0000_x2176,2176,0,17,39.3076983265007,35.832615730974645,-3.475082595526054,BAD
case1,case1_y0000_x2304,2304,0,18,38.73447527936149,35.589293558235426,-3.1451817211260646,BAD
case1,case1_y0000_x2432,2432,0,19,36.92475739924041,30.270178860701193,-6.654578538539219,BAD
case1,case1_y0000_x2560,2560,0,20,38.11875733156781,30.413493714512825,-7.705263617054982,BAD
case1,case1_y0000_x2688,2688,0,21,42.522637562923116,36.68008849537203,-5.842549067551083,BAD
case1,case1_y0000_x2816,2816,0,22,41.514557499175524,36.399882715338975,-5.1146747838365485,BAD
case1,case1_y0000_x2944,2944,0,23,40.37569435625605,35.88597639102263,-4.489717965233417,BAD
