first,second,domain,metric,image_count,mean_difference,lower_95,upper_95,draws,unit,seed
V2,V1,all,roc_auc,5,0.051239388794567096,-0.0806904357668364,0.2,2000,paired source image,505
V2,V1,all,pr_auc,5,0.021708935899330175,-0.036979918678356115,0.1,2000,paired source image,505
V2,V1,all,brier,55,-1.3306111879025083e-05,-2.900441150925659e-05,6.064663435636094e-07,2000,paired source image,505
V2,V1,real_csig,roc_auc,2,-0.03856819468024894,-0.16315789473684206,0.08602150537634418,2000,paired source image,505
V2,V1,real_csig,pr_auc,2,-0.029060993585007903,-0.06338880311088238,0.005266815940866573,2000,paired source image,505
V2,V1,real_csig,brier,5,3.2390274012848395e-05,-1.0742197825141656e-05,7.910565524474092e-05,2000,paired source image,505
V2,V1,synthetic_bsds,roc_auc,3,0.11111111111111112,0.0,0.3333333333333333,2000,paired source image,505
V2,V1,synthetic_bsds,pr_auc,3,0.05555555555555556,0.0,0.16666666666666666,2000,paired source image,505
V2,V1,synthetic_bsds,brier,50,-1.787575046821243e-05,-3.475615160546012e-05,-3.295786203224625e-06,2000,paired source image,505
V3,V1,all,roc_auc,5,-0.08906432748538011,-0.28923976608187135,0.13333333333333333,2000,paired source image,505
V3,V1,all,pr_auc,5,-0.0004106262614283762,-0.06576379806414148,0.08333333333333334,2000,paired source image,505
V3,V1,all,brier,55,0.0028172187695310416,0.00034695725515694294,0.005894038561060402,2000,paired source image,505
V3,V1,real_csig,roc_auc,2,-0.22266081871345025,-0.3342105263157894,-0.1111111111111111,2000,paired source image,505
V3,V1,real_csig,pr_auc,2,-0.042693232320237626,-0.07676585901356545,-0.008620605626909805,2000,paired source image,505
V3,V1,real_csig,brier,5,0.006832518395211486,0.00015716670070122597,0.01826528350194703,2000,paired source image,505
V3,V1,synthetic_bsds,roc_auc,3,0.0,-0.3333333333333333,0.3333333333333333,2000,paired source image,505
V3,V1,synthetic_bsds,pr_auc,3,0.02777777777777779,-0.08333333333333331,0.16666666666666666,2000,paired source image,505
V3,V1,synthetic_bsds,brier,50,0.0024156888069629973,-9.585498152184233e-05,0.00571838750919363,2000,paired source image,505
V2,C1_lq,all,roc_auc,5,-0.07006413884172799,-0.20339747217506138,0.06057347670250899,2000,paired source image,505
V2,C1_lq,all,pr_auc,5,-0.043034559235757906,-0.10970122590242457,0.004397513883948254,2000,paired source image,505
V2,C1_lq,all,brier,55,-4.8640995403642855e-05,-0.00014492020033131766,2.294450127357065e-05,2000,paired source image,505
V2,C1_lq,real_csig,roc_auc,2,-0.008493680437653278,-0.16842105263157903,0.15143369175627247,2000,paired source image,505
V2,C1_lq,real_csig,pr_auc,2,-0.024253064756061427,-0.05949991422199349,0.010993784709870634,2000,paired source image,505
V2,C1_lq,real_csig,brier,5,1.872795280937032e-05,-6.829512287274492e-05,0.00010199482539611929,2000,paired source image,505
V2,C1_lq,synthetic_bsds,roc_auc,3,-0.11111111111111112,-0.3333333333333333,0.0,2000,paired source image,505
V2,C1_lq,synthetic_bsds,pr_auc,3,-0.05555555555555556,-0.16666666666666666,0.0,2000,paired source image,505
V2,C1_lq,synthetic_bsds,brier,50,-5.537789022494417e-05,-0.00015823785269586572,2.3397156774819597e-05,2000,paired source image,505
V7,C1_lq,all,roc_auc,5,-0.25970382946613846,-0.4987719298245613,-0.01612903225806449,2000,paired source image,505
V7,C1_lq,all,pr_auc,5,-0.13068909119638863,-0.21168498168498165,-0.03536397688586919,2000,paired source image,505
V7,C1_lq,all,brier,55,-3.363206095875103e-05,-0.0001346642786504424,4.0890111396299645e-05,2000,paired source image,505
V7,C1_lq,real_csig,roc_auc,2,0.01740709300132051,-0.16052631578947374,0.19534050179211476,2000,paired source image,505
V7,C1_lq,real_csig,pr_auc,2,-0.02116717243541602,-0.05842490842490843,0.01609056355407639,2000,paired source image,505
V7,C1_lq,real_csig,brier,5,1.4287658312258414e-05,-6.988058554631397e-05,9.23369011845548e-05,2000,paired source image,505
V7,C1_lq,synthetic_bsds,roc_auc,3,-0.4444444444444445,-0.6666666666666666,-0.3333333333333333,2000,paired source image,505
