image_id,domain,category,region_count,psnr_positive,majority_positive,psnr_gain,ssim_gain,lpips_gain,dists_gain
case1,real_csig,text,192,0,0,-4.663297137927113,-0.1037565665319562,-0.33479946709849173,-0.1786025861899058
case2,real_csig,text,192,2,0,-3.832705484835793,-0.0986940033423404,0.0039160972616324825,-0.008105465831855932
case3,real_csig,animal,192,0,0,-8.933160375102425,-0.11464116613691051,-0.21953957409520322,-0.08172882969180743
case4,real_csig,vegetation,192,0,1,-1.6360139578531594,-0.05843452061526477,0.22786375259359679,0.141355169005692
case5,real_csig,architecture,192,6,5,-2.519492932320993,-0.08650561328977346,-0.16611841526416052,-0.018118020767966907
bsds_100098,synthetic_bsds,animal,4,0,1,-1.8938614912914469,-0.025190912187099457,0.38333192095160484,0.06593035161495209
bsds_106025,synthetic_bsds,animal,4,0,0,-5.5513061243446895,-0.0888238400220871,0.10113503411412239,0.045481204986572266
bsds_112082,synthetic_bsds,animal,4,0,0,-7.130819523390983,-0.42442359030246735,-0.11394729651510715,-0.0414355993270874
bsds_138078,synthetic_bsds,landscape,4,0,0,-0.22540685629070234,-0.19571052491664886,-0.08716045506298542,-0.06584294140338898
bsds_140055,synthetic_bsds,vegetation,4,0,0,-5.7120023573624445,-0.23342914879322052,0.04593593254685402,-0.008084118366241455
bsds_147021,synthetic_bsds,people,4,0,1,-2.03479676653407,-0.0019865259528160095,0.3342137672007084,0.0786990374326706
bsds_153077,synthetic_bsds,people,4,0,0,-5.921586916238508,-0.14380194246768951,0.08956091850996017,0.02526712417602539
bsds_159029,synthetic_bsds,animal,4,0,0,-8.638993935914122,-0.29053762555122375,-0.10800672322511673,-0.03869462013244629
bsds_159045,synthetic_bsds,animal,4,0,0,-0.5997189946434722,-0.17097856104373932,-0.1583327315747738,-0.06691490113735199
bsds_159091,synthetic_bsds,animal,4,0,0,-3.1886197737178392,-0.07570558041334152,0.132017333060503,0.05210837721824646
bsds_164074,synthetic_bsds,animal,4,0,0,-2.504257536016839,-0.03729913383722305,0.1437271386384964,0.024732068181037903
bsds_166081,synthetic_bsds,architecture,4,0,0,-4.747287991942265,-0.1325073316693306,0.36848612129688263,0.0643552839756012
bsds_176039,synthetic_bsds,landscape,4,0,2,-5.597350297318828,-0.08239157497882843,0.0527047012001276,-0.03589800000190735
