image_id,scene_id,domain,region_index,x,y,width,height,center_x,center_y,context_padding,archive_path
case1,case1,real_csig,0,0,0,256,256,128.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [128, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,1,256,0,256,256,384.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,2,512,0,256,256,640.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,3,768,0,256,256,896.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,4,1024,0,256,256,1152.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,5,1280,0,256,256,1408.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,6,1536,0,256,256,1664.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,7,1792,0,256,256,1920.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,8,2048,0,256,256,2176.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,9,2304,0,256,256,2432.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,10,2560,0,256,256,2688.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,11,2816,0,256,256,2944.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,12,3072,0,256,256,3200.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
case1,case1,real_csig,13,3328,0,256,256,3456.0,128.0,"{""256"": [0, 0, 0, 0], ""512"": [0, 128, 0, 0]}",data/patches/case1.npz
