image_id,region_index,psnr_benefit,four_metric_majority,human_severity,human_hallucination_present,human_hallucination_clear,useful_psnr_and_human_low,annotation_status
case1,0,0,0,,,,,pending
case1,1,0,0,,,,,pending
case1,2,0,0,,,,,pending
case1,3,0,0,,,,,pending
case1,4,0,0,,,,,pending
case1,5,0,0,,,,,pending
case1,6,0,0,,,,,pending
case1,7,0,0,,,,,pending
case1,8,0,0,,,,,pending
case1,9,0,0,,,,,pending
case1,10,0,0,,,,,pending
case1,11,0,0,,,,,pending
case1,12,0,0,,,,,pending
case1,13,0,0,,,,,pending
case1,14,0,0,,,,,pending
case1,15,0,0,,,,,pending
case1,16,0,0,,,,,pending
case1,17,0,0,,,,,pending
case1,18,0,0,,,,,pending
case1,19,0,0,,,,,pending
case1,20,0,0,,,,,pending
case1,21,0,0,,,,,pending
case1,22,0,0,,,,,pending
case1,23,0,0,,,,,pending
case1,24,0,0,,,,,pending
case1,25,0,0,,,,,pending
case1,26,0,0,,,,,pending
case1,27,0,0,,,,,pending
case1,28,0,0,,,,,pending
case1,29,0,0,,,,,pending
case1,30,0,0,,,,,pending
case1,31,0,0,,,,,pending
case1,32,0,0,,,,,pending
case1,33,0,0,,,,,pending
case1,34,0,0,,,,,pending
case1,35,0,0,,,,,pending
case1,36,0,0,,,,,pending
case1,37,0,0,,,,,pending
case1,38,0,0,,,,,pending
case1,39,0,0,,,,,pending
case1,40,0,0,,,,,pending
case1,41,0,0,,,,,pending
case1,42,0,0,,,,,pending
case1,43,0,0,,,,,pending
case1,44,0,0,,,,,pending
case1,45,0,0,,,,,pending
case1,46,0,0,,,,,pending
case1,47,0,0,,,,,pending
case1,48,0,0,,,,,pending
case1,49,0,0,,,,,pending
case1,50,0,0,,,,,pending
case1,51,0,0,,,,,pending
case1,52,0,0,,,,,pending
case1,53,0,0,,,,,pending
case1,54,0,0,,,,,pending
case1,55,0,0,,,,,pending
case1,56,0,0,,,,,pending
case1,57,0,0,,,,,pending
case1,58,0,0,,,,,pending
case1,59,0,0,,,,,pending
case1,60,0,0,,,,,pending
case1,61,0,0,,,,,pending
case1,62,0,0,,,,,pending
case1,63,0,0,,,,,pending
case1,64,0,0,,,,,pending
case1,65,0,0,,,,,pending
case1,66,0,0,,,,,pending
case1,67,0,0,,,,,pending
case1,68,0,0,,,,,pending
case1,69,0,0,,,,,pending
case1,70,0,0,,,,,pending
case1,71,0,0,,,,,pending
case1,72,0,0,,,,,pending
case1,73,0,0,,,,,pending
case1,74,0,0,,,,,pending
case1,75,0,0,,,,,pending
case1,76,0,0,,,,,pending
case1,77,0,0,,,,,pending
case1,78,0,0,,,,,pending
case1,79,0,0,,,,,pending
case1,80,0,0,,,,,pending
case1,81,0,0,,,,,pending
case1,82,0,0,,,,,pending
case1,83,0,0,,,,,pending
case1,84,0,0,,,,,pending
case1,85,0,0,,,,,pending
case1,86,0,0,,,,,pending
case1,87,0,0,,,,,pending
case1,88,0,0,,,,,pending
case1,89,0,0,,,,,pending
case1,90,0,0,,,,,pending
case1,91,0,0,,,,,pending
case1,92,0,0,,,,,pending
case1,93,0,0,,,,,pending
case1,94,0,0,,,,,pending
