model_id,scope,target,variant,family,seed,domain,image_count,region_count,positive_count,roc_auc,roc_auc_defined_images,pr_auc,pr_auc_defined_images,balanced_accuracy,balanced_accuracy_defined_images,precision,precision_defined_images,recall,recall_defined_images,f1,f1_defined_images,accuracy,accuracy_defined_images,brier,brier_defined_images,ece,ece_defined_images
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,all,55,1160,13,0.5433616298811546,5,0.34289494440207113,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.023482090062667917,55,0.025103189667863783,55
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,real_csig,5,960,8,0.6917374080362195,2,0.06557069433851132,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.008280123202343007,5,0.008402961738913082,5
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,synthetic_bsds,50,200,5,0.4444444444444445,3,0.5277777777777777,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.025002286748700406,50,0.026773212460758856,50
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,all,55,1160,13,0.5573684210526316,5,0.3733174008642715,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.07058569085475114,55,0.22650767240821468,55
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,real_csig,5,960,8,0.5600877192982456,2,0.03051572438290088,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.037152646779528446,5,0.15719489803304895,5
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,synthetic_bsds,50,200,5,0.5555555555555556,3,0.6018518518518519,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.07392899526227341,50,0.23343894984573127,50
mixed_groupcv_psnr_benefit_V1_mlp_506,mixed_groupcv,psnr_benefit,V1,mlp,506,all,55,1160,13,0.34438785134880207,5,0.2890544917797916,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.05831854638158552,55,0.19605330867908022,55
mixed_groupcv_psnr_benefit_V1_mlp_506,mixed_groupcv,psnr_benefit,V1,mlp,506,real_csig,5,960,8,0.5276362950386719,2,0.028191785005034595,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.022350483349890593,5,0.0944225215217254,5
mixed_groupcv_psnr_benefit_V1_mlp_506,mixed_groupcv,psnr_benefit,V1,mlp,506,synthetic_bsds,50,200,5,0.22222222222222224,3,0.46296296296296297,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.061915352684755,50,0.20621638739481568,50
mixed_groupcv_psnr_benefit_V1_mlp_507,mixed_groupcv,psnr_benefit,V1,mlp,507,all,55,1160,13,0.6522146764761365,5,0.4658619007425818,5,0.4989247311827957,5,0.0,55,0.0,55,0.0,55,0.9490530303030303,55,0.11889504796846868,55,0.3225788732087521,55
mixed_groupcv_psnr_benefit_V1_mlp_507,mixed_groupcv,psnr_benefit,V1,mlp,507,real_csig,5,960,8,0.6305366911903414,2,0.039654751856454576,2,0.49731182795698925,2,0.0,5,0.0,5,0.0,5,0.9895833333333334,5,0.057749810721437436,5,0.20761061826099952,5
mixed_groupcv_psnr_benefit_V1_mlp_507,mixed_groupcv,psnr_benefit,V1,mlp,507,synthetic_bsds,50,200,5,0.6666666666666666,3,0.75,3,0.5,3,0.0,50,0.0,50,0.0,50,0.945,50,0.1250095716931718,50,0.33407569870352744,50
mixed_groupcv_psnr_benefit_V2_logistic_505,mixed_groupcv,psnr_benefit,V2,logistic,505,all,55,1160,13,0.5946010186757216,5,0.3646038803014013,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.02346878395078889,55,0.02418207625296579,55
mixed_groupcv_psnr_benefit_V2_logistic_505,mixed_groupcv,psnr_benefit,V2,logistic,505,real_csig,5,960,8,0.6531692133559706,2,0.036509700753503405,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.008312513476355856,5,0.008511909195419375,5
mixed_groupcv_psnr_benefit_V2_logistic_505,mixed_groupcv,psnr_benefit,V2,logistic,505,synthetic_bsds,50,200,5,0.5555555555555557,3,0.5833333333333333,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.024984410998232197,50,0.025749092958720438,50
mixed_groupcv_psnr_benefit_V2_mlp_505,mixed_groupcv,psnr_benefit,V2,mlp,505,all,55,1160,13,0.2938238068289002,5,0.25577176632295606,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.03315889861389906,55,0.09367227032005648,55
mixed_groupcv_psnr_benefit_V2_mlp_505,mixed_groupcv,psnr_benefit,V2,mlp,505,real_csig,5,960,8,0.5678928504055838,2,0.028318304696279127,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.011140059825784226,5,0.03507852159733981,5
mixed_groupcv_psnr_benefit_V2_mlp_505,mixed_groupcv,psnr_benefit,V2,mlp,505,synthetic_bsds,50,200,5,0.11111111111111112,3,0.4074074074074074,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.035360782492710546,50,0.09953164519232814,50
mixed_groupcv_psnr_benefit_V2_mlp_506,mixed_groupcv,psnr_benefit,V2,mlp,506,all,55,1160,13,0.47194114318053193,5,0.3934831042222456,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9627840909090909,55,0.06769325601239981,55,0.19628961568014347,55
mixed_groupcv_psnr_benefit_V2_mlp_506,mixed_groupcv,psnr_benefit,V2,mlp,506,real_csig,5,960,8,0.6798528579513299,2,0.03926331611116948,2,0.5,2,0.0,5,0.0,5,0.0,5,0.990625,5,0.030938272847246418,5,0.11274124141709763,5
mixed_groupcv_psnr_benefit_V2_mlp_506,mixed_groupcv,psnr_benefit,V2,mlp,506,synthetic_bsds,50,200,5,0.3333333333333333,3,0.6296296296296297,3,0.5,3,0.0,50,0.0,50,0.0,50,0.96,50,0.07136875432891512,50,0.20464445310644805,50
mixed_groupcv_psnr_benefit_V2_mlp_507,mixed_groupcv,psnr_benefit,V2,mlp,507,all,55,1160,13,0.42818713450292395,5,0.3064122336203309,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.0448526469079186,55,0.14291864508586788,55
mixed_groupcv_psnr_benefit_V2_mlp_507,mixed_groupcv,psnr_benefit,V2,mlp,507,real_csig,5,960,8,0.5704678362573099,2,0.02991947293971621,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.014887019334008229,5,0.05595637757954439,5
mixed_groupcv_psnr_benefit_V2_mlp_507,mixed_groupcv,psnr_benefit,V2,mlp,507,synthetic_bsds,50,200,5,0.3333333333333333,3,0.4907407407407407,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.04784920966530963,50,0.15161487183650024,50
mixed_groupcv_psnr_benefit_V3_logistic_505,mixed_groupcv,psnr_benefit,V3,logistic,505,all,55,1160,13,0.4542973023957744,5,0.3424843181406428,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9757575757575758,55,0.026299308832198953,55,0.046367611725754106,55
mixed_groupcv_psnr_benefit_V3_logistic_505,mixed_groupcv,psnr_benefit,V3,logistic,505,real_csig,5,960,8,0.4690765893227693,2,0.022877462018273686,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9833333333333334,5,0.015112641597554493,5,0.0309672502325699,5
mixed_groupcv_psnr_benefit_V3_logistic_505,mixed_groupcv,psnr_benefit,V3,logistic,505,synthetic_bsds,50,200,5,0.4444444444444445,3,0.5555555555555555,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.02741797555566341,50,0.04790764787507253,50
mixed_groupcv_psnr_benefit_V3_mlp_505,mixed_groupcv,psnr_benefit,V3,mlp,505,all,55,1160,13,0.5849254857574043,5,0.3759431377303085,5,0.49842105263157893,5,0.0,55,0.0,55,0.0,55,0.9625,55,0.15733860754799833,55,0.3715376184956933,55
mixed_groupcv_psnr_benefit_V3_mlp_505,mixed_groupcv,psnr_benefit,V3,mlp,505,real_csig,5,960,8,0.46231371439351066,2,0.023191177659104757,2,0.49605263157894736,2,0.0,5,0.0,5,0.0,5,0.9875,5,0.10651092686787118,5,0.292391067976132,5
mixed_groupcv_psnr_benefit_V3_mlp_505,mixed_groupcv,psnr_benefit,V3,mlp,505,synthetic_bsds,50,200,5,0.6666666666666666,3,0.611111111111111,3,0.5,3,0.0,50,0.0,50,0.0,50,0.96,50,0.162421375616011,50,0.3794522735476494,50
mixed_groupcv_psnr_benefit_V3_mlp_506,mixed_groupcv,psnr_benefit,V3,mlp,506,all,55,1160,13,0.7298019241652518,5,0.5927041134657067,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.10535557939347023,55,0.2979396665538043,55
mixed_groupcv_psnr_benefit_V3_mlp_506,mixed_groupcv,psnr_benefit,V3,mlp,506,real_csig,5,960,8,0.49117147707979625,2,0.02342695033093354,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.06727428649438728,5,0.20302414659575638,5
mixed_groupcv_psnr_benefit_V3_mlp_506,mixed_groupcv,psnr_benefit,V3,mlp,506,synthetic_bsds,50,200,5,0.8888888888888888,3,0.9722222222222222,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.10916370868337852,50,0.3074312185496092,50
mixed_groupcv_psnr_benefit_V3_mlp_507,mixed_groupcv,psnr_benefit,V3,mlp,507,all,55,1160,13,0.7367100547066591,5,0.593042290706172,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.10667352812123443,55,0.2982319768814539,55
mixed_groupcv_psnr_benefit_V3_mlp_507,mixed_groupcv,psnr_benefit,V3,mlp,507,real_csig,5,960,8,0.5084418034333145,2,0.02427239343209686,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.06981193752289663,5,0.21392524628899992,5
mixed_groupcv_psnr_benefit_V3_mlp_507,mixed_groupcv,psnr_benefit,V3,mlp,507,synthetic_bsds,50,200,5,0.8888888888888888,3,0.9722222222222222,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.11035968718106824,50,0.30666264994069936,50
mixed_groupcv_psnr_benefit_V4_logistic_505,mixed_groupcv,psnr_benefit,V4,logistic,505,all,55,1160,13,0.3741652518392756,5,0.2851291466757854,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.02575801783136962,55,0.043791582655282435,55
mixed_groupcv_psnr_benefit_V4_logistic_505,mixed_groupcv,psnr_benefit,V4,logistic,505,real_csig,5,960,8,0.6020797962648556,2,0.060045088911685925,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.008442590675730685,5,0.010013404750041,5
mixed_groupcv_psnr_benefit_V4_logistic_505,mixed_groupcv,psnr_benefit,V4,logistic,505,synthetic_bsds,50,200,5,0.22222222222222224,3,0.4351851851851851,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.02748956054693351,50,0.04716940044580657,50
mixed_groupcv_psnr_benefit_V4_mlp_505,mixed_groupcv,psnr_benefit,V4,mlp,505,all,55,1160,13,0.46255234861346917,5,0.43806632773484255,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9763257575757577,55,0.12942213277385334,55,0.3223440728340806,55
mixed_groupcv_psnr_benefit_V4_mlp_505,mixed_groupcv,psnr_benefit,V4,mlp,505,real_csig,5,960,8,0.32304753820033955,2,0.025721374892661804,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9895833333333334,5,0.09334359312781451,5,0.2732610282255337,5
mixed_groupcv_psnr_benefit_V4_mlp_505,mixed_groupcv,psnr_benefit,V4,mlp,505,synthetic_bsds,50,200,5,0.5555555555555555,3,0.7129629629629629,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.1330299867384572,50,0.3272523772949353,50
mixed_groupcv_psnr_benefit_V4_mlp_506,mixed_groupcv,psnr_benefit,V4,mlp,506,all,55,1160,13,0.5026994906621393,5,0.4543617652736384,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.14610606974683685,55,0.35628775873108576,55
