sample_id,image_id,region_index,x,y,width,height,image_path,image_sha256,severity,hallucination_types,reviewer_type,reviewer_id,reviewed_at,annotation_status,note
review_000,case1,163,768,2560,256,256,images/review_000.png,c3bb02af291c8af27a2d8f1e417981357ba4b3cf51ca80201bf78acbbc7d0407,,,,,,pending,
review_001,case1,154,2560,2304,256,256,images/review_001.png,c45f8a18db6003433918f3a374005c83a4450fe8374a914e9321a479c916c0ab,,,,,,pending,
review_002,case2,57,2304,1024,256,256,images/review_002.png,7be69d4a2ad97119072f32a3eeefa143f3766b4bb5c4c90b0494fe96d3549cc6,,,,,,pending,
review_003,case2,112,1024,2304,256,256,images/review_003.png,c680a3d59675299f7408f85cc5a6cb062105e7e64b31c0a2200b313ffb0a8f55,,,,,,pending,
review_004,case3,51,768,768,256,256,images/review_004.png,873cfcabd6d05ca68421f42ec2e1becdaeb65f5a13a405863665d677f2f6094e,,,,,,pending,
review_005,case3,136,2048,2048,256,256,images/review_005.png,76e2a43730217ccef143e82b28d4f683bced2babd96c9a971f3b52ce4afeb63a,,,,,,pending,
review_006,case4,162,512,2560,256,256,images/review_006.png,8d89b3231961f4ae418df69a05589f819d800a0517e86ae35d65a974cdfee25c,,,,,,pending,
review_007,case4,97,256,1536,256,256,images/review_007.png,20032f25f67a297b0ae2dea67e3d1baabd3af7a48b5452efabb9e5b526f3dfd3,,,,,,pending,
review_008,case5,186,2560,2816,256,256,images/review_008.png,bcc588a6981f70fec38f4391e90f721671a9a5417404fade61a829964bb0aae9,,,,,,pending,
review_009,case5,72,2048,1024,256,256,images/review_009.png,3cdb39c41ef9f1b7eede569a57fecc26895af585465c5ee623b087bdebc4f69d,,,,,,pending,
review_010,bsds_100098,2,0,256,256,65,images/review_010.png,3db707655115d6d42a279257b21ace036df0f729891d045f470fa1bf8fb5c832,,,,,,pending,
review_011,bsds_100098,0,0,0,256,256,images/review_011.png,df98b6c751ed006b742ddab0995301789ce7915cb1198e2626f4a464aa206ca9,,,,,,pending,
review_012,bsds_106025,2,0,256,256,225,images/review_012.png,ece358dc277de950e3576fe9850552cb1bf248d3019d0485c3dbe9732aab1aba,,,,,,pending,
review_013,bsds_106025,3,256,256,65,225,images/review_013.png,7f1d5fb3ec79332961be8c109cd44ab86dac7e2d2189701df22bf86478bddc91,,,,,,pending,
review_014,bsds_112082,1,256,0,225,256,images/review_014.png,6a6bf15afee869ada0dc79222232fffbe28771f19e33a1e2a2610113e6166404,,,,,,pending,
review_015,bsds_112082,0,0,0,256,256,images/review_015.png,430fa885ade6503ca7aadb86c85516d3d0f6814705cec029e40d57e4f16d19fd,,,,,,pending,
review_016,bsds_138078,1,256,0,65,256,images/review_016.png,3f525e781e1a6f931781a8711669f4a2abfa02707ee1379cfb8170defdfd1ecc,,,,,,pending,
review_017,bsds_138078,2,0,256,256,225,images/review_017.png,ca167034f93ea011ce2fbeaca09d7550bf13eab8aecac9642fa3bd0014bbfc80,,,,,,pending,
review_018,bsds_140055,3,256,256,225,65,images/review_018.png,6d0ed390e540f4506e6ccb41ce456db970aafc652f9926f1c86136d2f229736d,,,,,,pending,
review_019,bsds_140055,2,0,256,256,65,images/review_019.png,0b43b49f08294126ce09602a7d8cd09db31be847c3713fc71ca7a9ba0fdf3577,,,,,,pending,
review_020,bsds_147021,0,0,0,256,256,images/review_020.png,231b40ac80032395d306b2dae712fdd002b8faefb959b0139a6ef5bac94d3816,,,,,,pending,
review_021,bsds_147021,2,0,256,256,65,images/review_021.png,50f1536d8724669f4a5d4f624d076d4128eb38435aa0fd7de941f9b898845b8f,,,,,,pending,
review_022,bsds_153077,0,0,0,256,256,images/review_022.png,9f0b47b050f03b03641e7fa1e551126b974bb7e2d1a3a2ddc1a0f83a2721c14f,,,,,,pending,
review_023,bsds_153077,3,256,256,225,65,images/review_023.png,c9751dc78cba37741a87523f62830572082d93f4f70af306ba8a02584876968c,,,,,,pending,
review_024,bsds_159029,1,256,0,225,256,images/review_024.png,6ad17070d9419f80b0915bfaf117bb1f7d2059cfd739b2e288e3666f719b62dd,,,,,,pending,
review_025,bsds_159029,3,256,256,225,65,images/review_025.png,6073e8e8e4ee41fd4d2e625d403172a21d93d5d1fa80acd99853779422f3d2c8,,,,,,pending,
review_026,bsds_159045,0,0,0,256,256,images/review_026.png,7692e3463eb20a356df9768dfad48e5c1a59b21caa78c98191aed22f70917419,,,,,,pending,
review_027,bsds_159045,3,256,256,225,65,images/review_027.png,9e68bd96bf6f4410cc118f714498dce38bec9ff5cecff4481f977d95e835b825,,,,,,pending,
review_028,bsds_159091,0,0,0,256,256,images/review_028.png,3f0f5d07afc16b2816972539fb77666a86d5d5ac2e43f5cf78df2c27908507b2,,,,,,pending,
review_029,bsds_159091,2,0,256,256,65,images/review_029.png,3c6505bf9d1c2ace4e3850279ee22fa8f3dec9fd47057c9db89c789cd8b6c1a3,,,,,,pending,
review_030,bsds_164074,0,0,0,256,256,images/review_030.png,57769e871e31b5ea511a86310c7a97592b61e9b35246475f92d34a61a505faed,,,,,,pending,
review_031,bsds_164074,1,256,0,225,256,images/review_031.png,28b8bb374cc3ca05441cd078782050edfd7f63b86d6865586be6dbb29b5420c5,,,,,,pending,
review_032,bsds_166081,0,0,0,256,256,images/review_032.png,c88157ece7566164428f38298d73d0b5da8c0d4ca351630f4e2cf28633d7b155,,,,,,pending,
review_033,bsds_166081,3,256,256,225,65,images/review_033.png,415848078539053a93083c266e836dd902024ecd8488ac44263436902cbbdbe4,,,,,,pending,
review_034,bsds_176039,0,0,0,256,256,images/review_034.png,dd23e08fd4be98d1f12373cdd736e19294124998cd5ac90a4e6d3ef6438dc9a5,,,,,,pending,
review_035,bsds_176039,1,256,0,225,256,images/review_035.png,7876cba018e1c65216c9f51fea84a04cbfb11f0e766c448a315101d5f9870849,,,,,,pending,
review_036,bsds_183055,0,0,0,256,256,images/review_036.png,d6e7f98b9c97f93a69e3c69937815d436e181a7986f4d948a83a49467cfb770b,,,,,,pending,
review_037,bsds_183055,3,256,256,225,65,images/review_037.png,e29afb666f1391cfd4b5f0858a9cb6f83a25d7254ce0bc491652a734f3713360,,,,,,pending,
review_038,bsds_187029,3,256,256,65,225,images/review_038.png,f8fc314d59d48eddf4ed488759134c0d56a019530a16183ceabd160579d2c069,,,,,,pending,
review_039,bsds_187029,0,0,0,256,256,images/review_039.png,bc13ed02a982532b2c0c3ad4e96add6255cdca312a627467a0dca19cd9cad3f3,,,,,,pending,
review_040,bsds_188063,2,0,256,256,65,images/review_040.png,60c3b7ebc85119961d7e89448694a2132b2d68568599496878b6acef835bd4fb,,,,,,pending,
review_041,bsds_188063,3,256,256,225,65,images/review_041.png,3f0d440c8da611c01da15a394fd541a7e009cfb53506eb731eaa6eafba2accb2,,,,,,pending,
review_042,bsds_198023,3,256,256,65,225,images/review_042.png,69cac6f214679f2789ac9e5bf707f307aebe458d8b35fcc59fb0debfbd0ecdf0,,,,,,pending,
review_043,bsds_198023,1,256,0,65,256,images/review_043.png,56f5b630f1eeacd455ed2919efa96c3e57b89e5815c3b56a8b572054ef503dc2,,,,,,pending,
review_044,bsds_198054,3,256,256,65,225,images/review_044.png,3afd6753dc0aa36e2cbec84acb3d01c3526ab6d86a68bfd86f33f361842e2c51,,,,,,pending,
review_045,bsds_198054,2,0,256,256,225,images/review_045.png,965cad064d9d865a68f77aadbf0159177cf9fdb4807eacfac69f7d4f95db4534,,,,,,pending,
review_046,bsds_20008,3,256,256,65,225,images/review_046.png,953857765267e6b650e5d9bf47dfda36c4956f3cfc4382036b4e524b8cb44a9a,,,,,,pending,
review_047,bsds_20008,0,0,0,256,256,images/review_047.png,5a3a2bf4bbfc384fe39cd6284335c15e88c4e46059eef515daef1a36de8f08b5,,,,,,pending,
review_048,bsds_216041,0,0,0,256,256,images/review_048.png,edbe93d5cf2a863d02bc6f9b5faad797cce11a2b611477c43198f2f0ed1e6f7f,,,,,,pending,
review_049,bsds_216041,3,256,256,225,65,images/review_049.png,6021abef986ee485adb962341d5437dad7e3f36670c6a4c5e71c9cc23faa7d0a,,,,,,pending,
review_050,bsds_225017,0,0,0,256,256,images/review_050.png,782de9fd9569de52f3714cab0dec533661fb62911ddeb38e396f9a9b568b6efd,,,,,,pending,
review_051,bsds_225017,2,0,256,256,225,images/review_051.png,7c2eeb1b01aed06a2407b56ef0bb6a4f27c4e213ea67b2f5d63c73b63ea08fe7,,,,,,pending,
review_052,bsds_23025,3,256,256,65,225,images/review_052.png,225fe19252655770f3761825cc48fe855f3c5d1d36d1b268ed80bb6deeb609a7,,,,,,pending,
review_053,bsds_23025,1,256,0,65,256,images/review_053.png,7e0972f1f2e3e897fddba53950ac00ee2f826db617fdfd040fc84d2f13f79af9,,,,,,pending,
review_054,bsds_23080,2,0,256,256,65,images/review_054.png,b30a8bf5905e429a08064f6e48ce205b2d16046b2b0322a44a5d9b17ea1b4c5a,,,,,,pending,
review_055,bsds_23080,0,0,0,256,256,images/review_055.png,2f35917f6ec28dd49ea6b491ada826ee1ed2649e3ccd8d161d6ba0efb19fd9e5,,,,,,pending,
review_056,bsds_231015,1,256,0,225,256,images/review_056.png,de857726cfd49cdeacbd677039b9c1f4f400f70b17431fd5c14a606808fdaae3,,,,,,pending,
review_057,bsds_231015,2,0,256,256,65,images/review_057.png,2fb1a41b8307ece6d7ae0955a47470787cb844b9798e66cd235b8d2d205047eb,,,,,,pending,
